flip_angle,1,3,5,7,9
10,0.0009698978099833,0.0016540276249999,0.0020449003593057,0.0023409755415555,0.002588974718257
30,0.0008658221725932,0.0014993612928958,0.0019483914531478,0.0022112601398918,0.0024432084281479
40,0.0007248860078798,0.0013453910228288,0.0017910719091962,0.0020805994626964,0.002288167421236
50,0.0006296074431209,0.0012691523464127,0.0017304140688792,0.0020592567770112,0.0020282761588078
70,0.0005279286026122,0.0012947740669532,0.0016357632064858,0.002058667844851,0.001465563335444
90,0.0005016767914132,0.0014768406953072,0.0011888477873836,0.0019145714591537,0.0011387440530904
