flip_angle,1,5,9,11,15,20,25,30
10,0.02802738,0.059424938,0.076766474,0.083479739,0.092657424,0.101577979,3.368434079,3.549128291
30,0.045071524,0.090524463,0.108384708,0.10758901,0.120255535,0.124961671,3.888398488,3.843402309
40,0.047006435,0.091918494,0.103471026,0.095197502,0.113120986,0.112787511,3.456257497,3.342728554
50,0.047755094,0.090394634,0.091979952,0.080583498,0.101368126,0.097680266,2.949328511,2.812596111
70,0.048501708,0.078129062,0.065691737,0.053721777,0.075277253,0.069184133,2.075663895,2.010839651
90,0.04875206,0.056707185,0.048301306,0.032218648,0.053956166,0.049554159,1.467487882,1.380426103
