,n_readout,flip_angle,snr_myelin,snr_wm,cnr,TA (s),efficiency
0,1,10,26.606434576253942,1.4604927726988184,25.145941803555118,810.0,0.8835383334364058
1,1,30,42.082967279874445,1.394572347880195,40.68839493199425,810.0,1.429644470239486
2,1,40,43.64923018601099,1.3441222055520925,42.30510798045889,810.0,1.4864499764179575
3,1,50,44.161619016759545,1.3079795931631382,42.853639423596405,810.0,1.5057234067349985
4,1,70,45.002022486959305,1.2842943567675777,43.71772813019173,810.0,1.5360843891046672
5,1,90,45.04543467222636,1.2752262885940897,43.77020838363227,810.0,1.5379283572497227
6,5,10,25.6499953082773,1.5499116512450244,24.10008365703228,162.0,1.8934813978945126
7,5,30,38.12185964186118,1.7119133713804886,36.409946270480695,162.0,2.8606355456105272
8,5,40,38.95898429884954,1.7587268607993187,37.20025743805022,162.0,2.922728255147846
9,5,50,38.08790911987112,1.7840726853816546,36.30383643448947,162.0,2.852298769546084
10,5,70,33.18883811989031,1.8151597226099496,31.37367839728037,162.0,2.464948971720316
11,5,90,24.495420284835134,1.6971993484335852,22.798220936401545,162.0,1.7911974025687394
12,9,10,24.88542975718316,1.7173820293716227,23.16804772781154,90.0,2.442126658645774
13,9,30,34.39002141778732,2.0390617870851515,32.350959630702164,90.0,3.410090564172618
14,9,40,32.93449336640273,2.004328537225802,30.930164829176924,90.0,3.2603256421543967
15,9,50,29.401856506073518,1.9047203103899413,27.497136195683577,90.0,2.898452650340584
16,9,70,21.38520706051289,1.6542486681184294,19.730958392394463,90.0,2.079825631266027
17,9,90,15.818091144454897,1.44623542380752,14.371855720647376,90.0,1.5149266093522107
18,11,10,24.349742231433513,1.7927160009434067,22.55702623049011,74.0,2.62220103637687
19,11,30,31.08359880410005,2.0983371805126607,28.98526162358739,74.0,3.3694682221138756
20,11,40,28.003324379100228,2.059125364703069,25.94419901439716,74.0,3.0159518745233935
21,11,50,24.062573780763756,2.0514479316850966,22.011125849078656,74.0,2.558741406048438
22,11,70,16.60541546431985,2.0250368969706263,14.580378567349221,74.0,1.6949345804453377
23,11,90,10.665490074597816,1.8787717165949682,8.78671835800285,74.0,1.0214352614248001
24,15,10,23.66049106921577,2.0191431672379276,21.64134790197784,54.0,2.945014428105387
25,15,30,30.40439967187142,2.4241340395349,27.980265632336522,54.0,3.807631870375388
26,15,40,28.554973679929823,2.3474928577116505,26.207480822218177,54.0,3.5663864143450152
27,15,50,25.669305143195423,2.213188751908195,23.456116391287225,54.0,3.1919731392214685
28,15,70,19.530000042245515,1.926353251633416,17.603646790612096,54.0,2.3955529027323523
29,15,90,14.277708568790912,1.6794615621552949,12.598247006635615,54.0,1.7144042677668232
30,20,10,22.710340105951435,2.292247456618089,20.41809264933335,41.0,3.1887703396364846
31,20,30,27.805888079574935,2.6752315995375517,25.13065648003738,41.0,3.9247491612177132
32,20,40,25.769060432087667,2.5685089377228776,23.200551494364788,41.0,3.6233174047652703
33,20,50,22.024281241145474,2.3093172091801457,19.714964031965327,41.0,3.078960098370586
34,20,70,15.931806957464369,1.8961063628996706,14.0357005945647,41.0,2.192008162595314
35,20,90,11.580430098552178,1.6294953706733306,9.950934727878845,41.0,1.5540749107608118
36,25,10,21.818575906562092,2.5195780656476643,19.29899784091443,33.0,3.359524306440458
37,25,30,25.16888612098194,2.8183409339932766,22.350545186988665,33.0,3.890730515482891
38,25,40,22.35372645366246,2.581737171974649,19.771989281687812,33.0,3.441861547737396
39,25,50,19.225785813059343,2.3259479285757356,16.89983788448361,33.0,2.941884164962206
40,25,70,13.934701941196986,1.8899351811383331,12.044766760058653,33.0,2.0967247641241156
41,25,90,10.090676661845512,1.6074485685406286,8.483228093304882,33.0,1.476740461420038
42,30,10,21.252499084146297,2.804464473306635,18.44803461083966,27.0,3.550325916195937
43,30,30,22.726980431018703,2.911251689574684,19.81572874144402,27.0,3.8135387743537694
44,30,40,19.866173233020184,2.6372405798087115,17.228932653211473,27.0,3.3157096350605255
45,30,50,16.99498014767835,2.34227096342926,14.65270918424909,27.0,2.8199151972945047
46,30,70,12.250457170876391,1.882170046490246,10.368287124386145,27.0,1.9953777874332237
47,30,90,8.7773337718257,1.5907350092338595,7.186598762591842,27.0,1.3830615767134105
48,40,10,19.720296242640593,3.1664778319919558,16.55381841064864,21.0,3.6123393289214745
49,40,30,19.970557920058027,3.0747984090164646,16.89575951104156,21.0,3.686956994434192
50,40,40,17.038010643947217,2.7046271458620867,14.33338349808513,21.0,3.1278007068955254
51,40,50,14.029857775518709,2.310942347289293,11.718915428229417,21.0,2.5572770006022445
52,40,70,9.943952301465718,1.830998390721822,8.112953910743894,21.0,1.7703916859843762
53,40,90,7.310682290892932,1.5752828589640089,5.735399431928922,21.0,1.2515667636962386
