,n_readout,flip_angle,snr_myelin,snr_wm,cnr,TA (min),efficiency
0,1,10,20.78990429754386,1.0968774704536375,19.693026827090222,13.5,0.6919424310711554
1,1,20,33.96204118340446,0.977820643277545,32.98422054012691,13.5,1.158947375023448
2,1,30,40.02904340983056,0.8464543281218442,39.18258908170871,13.5,1.3767358457849435
3,1,40,42.74069401198879,0.7464473121207565,41.994246699868036,13.5,1.4755274243843597
4,1,50,44.16634162663306,0.686897295991113,43.479444330641954,13.5,1.5277119498147083
5,1,60,44.738777408451476,0.6408658452738889,44.09791156317759,13.5,1.549442673292415
6,1,70,45.12681231473549,0.6167137398831303,44.510098574852364,13.5,1.563925448612756
7,1,80,45.3957155552369,0.6058565639016644,44.78985899133524,13.5,1.5737552276710138
8,1,90,45.29342780439007,0.5983189284773421,44.69510887591273,13.5,1.570426047967692
9,5,10,20.45649833330308,1.1124732842358607,19.344025049067223,2.7,1.5198101430708746
10,5,20,32.30904818603694,1.0042067467624423,31.304841439274497,2.7,2.459540629520071
11,5,30,36.78912680398853,0.9217645701430652,35.86736223384546,2.7,2.818006117647378
12,5,40,38.045398041732184,0.9018884345365191,37.14350960719567,2.7,2.918269724479526
13,5,50,37.5882459882893,0.9485442640093908,36.63970172427991,2.7,2.8786868388767513
14,5,60,35.34761269445471,1.0163815827612512,34.33123111169346,2.7,2.697316258395669
15,5,70,32.19412356021589,1.1030001099247364,31.091123450291157,2.7,2.442749358489885
16,5,80,27.997792930458555,1.164597100733307,26.833195829725245,2.7,2.1082149702339232
17,5,90,23.453455743918283,1.1946125332420898,22.258843210676194,2.7,1.74881988618192
18,9,10,20.16240241488207,1.115544605862107,19.046857809019965,1.5,2.0077150981955825
19,9,20,30.558765037085276,1.0358798649410017,29.522885172144274,1.5,3.1119853414529377
20,9,30,33.882972461599785,1.0142584083054949,32.86871405329428,1.5,3.464666672306499
21,9,40,32.941971653684206,1.0643667641925123,31.877604889491693,1.5,3.3601945933904624
22,9,50,29.45557104971687,1.1203268039330974,28.335244245783773,1.5,2.9867969957952214
23,9,60,25.140424107871343,1.1510244490809285,23.98939965879041,1.5,2.528704754061462
24,9,70,21.3375461911649,1.1516020146954398,20.18594417646946,1.5,2.127785343955179
25,9,80,18.14687029434966,1.1444955875175011,17.002374706832157,1.5,1.7922076568409075
26,9,90,15.549092692856162,1.124122230874362,14.4249704619818,1.5,1.520525394683793
27,11,10,20.2441047275239,1.1194051082915182,19.124699619232384,1.23,2.2232011724205845
28,11,20,29.89719893219725,1.055213148475282,28.84198578372196,1.23,3.352812744040482
29,11,30,31.07018853777226,1.0536379306596244,30.016550607112638,1.23,3.489353131311199
30,11,40,28.15016021446293,1.1665924730343942,26.983567741428537,1.23,3.13677603482496
31,11,50,24.060727401023833,1.3032179335368894,22.757509467486944,1.23,2.6455067392854694
32,11,60,20.097633446983426,1.4227715657495463,18.67486188123388,1.23,2.1709085975603974
33,11,70,16.679235576392383,1.5035755681931353,15.175660008199248,1.23,1.7641346423321718
34,11,80,13.61199815772347,1.532487292309808,12.079510865413662,1.23,1.404214615284647
35,11,90,11.012281126081872,1.5424338003044606,9.469847325777412,1.23,1.1008473908860956
36,15,10,19.87182259853267,1.1214697521075854,18.750352846425088,0.9,2.5515998317157567
37,15,20,28.682419819501575,1.0618517558034963,27.62056806369808,0.9,3.7586832312151706
38,15,30,30.016658865356224,1.043424277949421,28.973234587406804,0.9,3.942757829839098
39,15,40,27.963909146596187,1.0623950510972389,26.901514095498946,0.9,3.660832380125653
40,15,50,25.054340923579502,1.1033671217731384,23.95097380180636,0.9,3.2593147031774055
41,15,60,21.552660908297057,1.1373697582482751,20.41529115004878,0.9,2.7781692371098154
42,15,70,18.293671565346536,1.1464051441919598,17.147266421154573,0.9,2.333447400854919
43,15,80,15.763014716570526,1.1730743777232266,14.589940338847299,0.9,1.9854394004347213
44,15,90,13.355655448880224,1.181397268213219,12.174258180667007,0.9,1.6567066966410016
