,n_readout,flip_angle,snr_myelin,snr_wm,cnr,TA (min),efficiency,asr
0,1,10,20.913214299205617,1.108591085836716,19.804623213368902,13.5,0.6958635283965398,0.034145772249817324
1,1,20,33.780375428994056,0.9709115986796675,32.809463830314385,13.5,1.1528070501411738,0.01747084202387104
2,1,30,40.02386429277104,0.8421400023807694,39.18172429039028,13.5,1.3767054601153101,0.012749462586752181
3,1,40,42.64503363606062,0.744482038219594,41.90055159784103,13.5,1.4722353140731685,0.010020390100650967
4,1,50,44.03174669847042,0.6808673601964765,43.35087933827394,13.5,1.5231946364453184,0.00887352810276507
5,1,60,44.82746280989143,0.6408273658936547,44.18663544399777,13.5,1.5525601126950939,0.008088445397559752
6,1,70,45.07332645678721,0.6153807760063087,44.4579456807809,13.5,1.5620929827034749,0.007781644870549911
7,1,80,45.36165102664434,0.6055830704117818,44.756067956232556,13.5,1.572567931721912,0.007589147373105192
8,1,90,45.485119957933584,0.6027106241854302,44.88240933374816,13.5,1.5770071152293839,0.007377505712819697
9,5,10,20.644230972307227,1.109357393673454,19.534873578633775,2.7,1.5348046196748735,0.034482564271786025
10,5,20,32.19665176632191,1.0119739024921677,31.184677863829737,2.7,2.4500996874035583,0.018989164144026408
11,5,30,36.7415507276207,0.9162797963378432,35.82527093128285,2.7,2.814699112595045,0.014656891312887003
12,5,40,37.8282502352878,0.8978806777977543,36.93036955749004,2.7,2.9015238606473828,0.013514248497675345
13,5,50,37.737503954002506,0.9508761700707171,36.78662778393179,2.7,2.8902304403337364,0.013868224554771885
14,5,60,35.55595403426819,1.0278336198224087,34.52812041444578,2.7,2.7127853429644753,0.015045782954237714
15,5,70,32.178831422644436,1.107253271625946,31.071578151018493,2.7,2.441213734750327,0.01798138730845924
16,5,80,27.80409776687231,1.1606410216277867,26.643456745244524,2.7,2.093307659868096,0.021758547641489132
17,5,90,23.533724554705675,1.2006385552202241,22.33308599948545,2.7,1.7546529505620563,0.026217195276803426
18,9,10,20.289153532865534,1.1247519432681468,19.16440158959739,1.5,2.0201053005759735,0.03507338737937205
19,9,20,30.698153185341706,1.0296661543579744,29.66848703098373,1.5,3.127333124969171,0.020384090685943834
20,9,30,33.72242022684173,1.008450546409524,32.71396968043221,1.5,3.4483551831952153,0.01911616869167847
21,9,40,32.814194231152385,1.0646026569620393,31.749591574190347,1.5,3.346700805151078,0.022939091796238837
22,9,50,29.416735001069824,1.1197056138690107,28.297029387200816,1.5,2.982768796009109,0.029131300753824946
23,9,60,25.084083830964545,1.1474577188126212,23.93662611215192,1.5,2.5231419338087036,0.036685943633884936
24,9,70,21.138955128536583,1.1476135604408848,19.9913415680957,1.5,2.1072724279194843,0.04595502016530799
25,9,80,18.09038044603258,1.1401937938115494,16.95018665222103,1.5,1.7867065528667605,0.05539287361760133
26,9,90,15.634049613031024,1.128601747536806,14.505447865494219,1.5,1.529008457859649,0.06480849650336425
27,11,10,20.372603859644627,1.1305552944327542,19.24204856521187,1.23,2.2368427102997757,0.03479366818565873
28,11,20,29.85116033061963,1.0511690267156601,28.79999130390397,1.23,3.3479309849213656,0.02077638125448385
29,11,30,31.12358930190579,1.0573109848758928,30.066278317029887,1.23,3.4951338601692172,0.019953942512295677
30,11,40,28.211176213747077,1.1700972480844942,27.04107896566258,1.23,3.1434615788434344,0.0241954134901665
31,11,50,23.98111686457513,1.3060091331876391,22.67510773138749,1.23,2.635927732035517,0.0313341752451154
32,11,60,20.2108177036879,1.4319809190781332,18.77883678460977,1.23,2.1829954345664615,0.040435637479747356
33,11,70,16.756877314602363,1.5055026624746792,15.251374652127685,1.23,1.7729362909071817,0.05280034474706006
34,11,80,13.593896566401474,1.536375886078659,12.057520680322815,1.23,1.4016583081922966,0.06727619006151511
35,11,90,11.051411939979578,1.5416880145811949,9.509723925398385,1.23,1.1054829514331665,0.08627364268292731
36,15,10,20.07248606825694,1.1222821400862535,18.950203928170687,0.9,2.5787961192057547,0.03558514028488261
37,15,20,28.61052964190241,1.0520181261906747,27.558511515711736,0.9,3.750238404672666,0.022466159121800222
38,15,30,29.657492422129963,1.02665144644455,28.630840975685413,0.9,3.8961639609554295,0.02164095968468142
39,15,40,28.30169022045136,1.077733181604903,27.223957038846454,0.9,3.7047113069235715,0.02443893044765077
40,15,50,24.9973729862207,1.110231504288961,23.887141481931742,0.9,3.25062822468902,0.029492850491810888
41,15,60,21.547523558269305,1.1391558161948998,20.408367742074407,0.9,2.7772270806199084,0.036065652090292055
42,15,70,18.45278425791229,1.1577141164567153,17.295070141455575,0.9,2.35356093956728,0.04412356443347436
43,15,80,15.854278794325444,1.1738458937162544,14.680432900609187,0.9,1.9977538783143833,0.051918198066117235
44,15,90,13.294467411023732,1.1626244727331596,12.13184293829057,0.9,1.6509347132444046,0.06252928343129505
