,n_readout,flip_angle,snr_myelin,snr_wm,cnr,TA (min),efficiency,asr
0,20,10,19.3983452489247,1.1190968592963386,18.27924838962836,0.68,2.8547389855045053,0.03736837916195186
1,20,20,27.35289258454184,1.0825042372963412,26.2703883472455,0.68,4.102745374463931,0.024442320855279205
2,20,30,27.734933122136965,1.0869727520045023,26.647960370132463,0.68,4.161712217662078,0.023832096265684236
3,20,40,25.250340594872114,1.1186425297959666,24.13169806507615,0.68,3.7687380675829387,0.02900043166054338
4,20,50,21.379273203080107,1.1321309683354146,20.247142234744693,0.68,3.162072370293757,0.03708644398847592
5,20,60,18.22276758823392,1.14386975072634,17.07889783750758,0.68,2.667275724194738,0.04550793574771593
6,20,70,15.539563159377579,1.1564131241607623,14.383150035216817,0.68,2.2462706488080473,0.05500270484546394
7,20,80,13.130073958976656,1.1608522820669223,11.969221676909733,0.68,1.869278376161643,0.06604146955523865
8,20,90,11.142646213055347,1.1596626628308564,9.982983550224489,0.68,1.5590800959106306,0.07781819563627478
9,25,10,19.280607634517818,1.1295330711499356,18.151074563367885,0.55,3.159696513068173,0.038033935592381815
10,25,20,25.90177178352488,1.09181458243536,24.80995720108952,0.55,4.3188591939268495,0.026153106564026488
11,25,30,25.451811635287036,1.1001632524005915,24.351648382886445,0.55,4.239077869150233,0.02715547074812218
12,25,40,22.751692611035978,1.1346322088487257,21.617060402187256,0.55,3.7630472034654923,0.033910871777087584
13,25,50,19.376424157476016,1.1528837120629951,18.22354044541302,0.55,3.172311203951352,0.04002814693030196
14,25,60,16.428304614055676,1.1500912431845558,15.278213370871123,0.55,2.659595570792246,0.05014619119348741
15,25,70,13.877154804785292,1.150886226420453,12.72626857836484,0.55,2.2153590031844024,0.06017772233190085
16,25,80,11.755170052812312,1.1594912248089555,10.595678828003358,0.55,1.8444709336382403,0.07251510852944677
17,25,90,10.01305632507368,1.1709323879468323,8.84212393712685,0.55,1.5392162086448082,0.08524473464715154
18,30,10,18.85936229659654,1.1251850463160764,17.734177250280467,0.45,3.4129440031019884,0.03809093913158139
19,30,20,24.9066399416509,1.1030057441478338,23.803634197503072,0.45,4.581011537206593,0.027550197496192523
20,30,30,23.70040944387344,1.1137671193394103,22.586642324534026,0.45,4.346801342053172,0.02993828093746044
21,30,40,20.638152180109664,1.139914430467599,19.498237749642065,0.45,3.7524376044930565,0.03621007541402396
22,30,50,17.497105662455272,1.1334446460932124,16.36366101636206,0.45,3.1491880309081397,0.04434427173306963
23,30,60,14.761833706369323,1.150268531785576,13.611565174583747,0.45,2.6195469392126873,0.05544358574593464
24,30,70,12.706569750259652,1.167480750431468,11.539088999828184,0.45,2.2206987134179506,0.06667738997940048
25,30,80,10.5390200071612,1.1573813742503407,9.381638632910859,0.45,1.8054971967169589,0.08134615317833113
26,30,90,8.997929805687825,1.1553070548258637,7.84262275086196,0.45,1.5093134521209453,0.09763234742710294
27,40,10,18.772450491027964,1.1497288014934672,17.622721689534497,0.35,3.8455931473062814,0.0392765798133851
28,40,20,23.229092007821542,1.1256425122582219,22.10344949556332,0.35,4.823368115859639,0.03004746544592531
29,40,30,21.499578439397983,1.143879107292083,20.3556993321059,0.35,4.441977762530349,0.03547797710026384
30,40,40,18.255695887303332,1.1377734579203251,17.117922429383007,0.35,3.7354369177633333,0.04347732245334201
31,40,50,15.487984477251633,1.176766415694237,14.311218061557394,0.35,3.1229638121002834,0.05455964230696161
32,40,60,12.859035032372516,1.155737575403234,11.703297456969283,0.35,2.553868879864092,0.06674757590199926
33,40,70,10.820092880562985,1.1484464331824882,9.671646447380496,0.35,2.110526282855803,0.08099016780383358
34,40,80,9.295317284497896,1.1663730098024019,8.128944274695494,0.35,1.77388106947,0.09184840428089715
35,40,90,7.867762523087366,1.16259007123556,6.705172451851807,0.35,1.4631885861115976,0.1109642052600092
