flip_angle,1,5,9,11,15,20,25,30,40
10,0.024168666,0.024970876,0.025092254,0.02518793,0.02612152,0.026688192,0.028148173,0.02776834,0.03162433
20,0.012845087,0.013654917,0.016249863,0.01616494,0.01764225,0.018953841,0.021112582,0.02303621,0.02748917
30,0.009175789,0.010955602,0.016571547,0.01709071,0.01809988,0.020817231,0.025037549,0.02764533,0.03583492
40,0.007708064,0.010561398,0.02158528,0.02290059,0.02171368,0.02616607,0.031742426,0.03604674,0.04750685
50,0.007019698,0.010962253,0.029197135,0.03059154,0.02715352,0.035952527,0.0406484,0.0466998,0.06232614
60,0.006551715,0.012361073,0.038518252,0.04179043,0.03506915,0.044873096,0.051772985,0.05817414,0.07719257
70,0.006391997,0.01498083,0.048829415,0.05477101,0.04274873,0.056292818,0.064375498,0.07295851,0.0938401
80,0.006336795,0.018650699,0.058681322,0.07090122,0.05058315,0.066845805,0.077752593,0.08938031,0.11064797
90,0.006282218,0.023206951,0.068117557,0.09115392,0.05922021,0.08079919,0.093351303,0.10658376,0.12811674
