flip_angle,1,5,9,11,15,20,25,30,40,50,60
10,20.89011518,20.49518525,20.58067647,20.14879403,20.02215722,19.6317965,19.2598314,19.0398066,18.6729632,18.33788458,17.98928953
20,33.7733814,31.9908011,30.62727041,29.72583026,28.58276641,27.3565327,26.1516725,24.8047501,23.5153535,22.06895591,20.85196343
30,39.7955948,36.83510301,33.91446139,31.26193555,30.13112283,27.6924394,25.5797808,23.8386668,21.6642403,20.12178464,18.26569897
40,42.62033367,38.10575511,32.92576747,28.18896497,28.08829509,25.078651,22.5281493,20.8297115,18.3784586,17.0671477,15.2767922
50,43.95378443,37.76091467,29.23314764,24.21072091,24.8533091,21.6406156,19.2115375,17.5065105,15.288301,14.3287149,13.02698763
60,44.63791809,35.37988881,24.97595925,20.22902059,21.57575423,18.4125707,16.3932467,14.8361944,12.921735,11.94767908,11.00963975
70,45.12529616,32.01108795,21.21009766,16.61181979,18.51244775,15.532689,13.9873318,12.591757,10.9355331,10.09587477,9.255858302
80,45.49222546,27.99072947,18.03839692,13.62516322,15.70358533,13.1473415,11.6751048,10.6980563,9.26404274,8.591413897,7.870032339
90,45.44353932,23.57693854,15.53049355,11.00080715,13.37755188,11.1746468,10.0273398,9.01376173,7.91311587,7.244696023,6.72622145
