,n_readout,flip_angle,snr_myelin,snr_wm,cnr,TA (min),efficiency,asr
79,40,80,9.26404274,1.17146562,8.09257712,0.35,1.76594511,0.091848404
80,40,90,7.91311587,1.16841094,6.74470492,0.35,1.47181528,0.110964205
81,50,10,18.33788458,1.150874303,17.18701028,0.28,4.16846228,0.038478659
82,50,20,22.06895591,1.138662418,20.93029349,0.28,5.076341814,0.031598767
83,50,30,20.12178464,1.157282927,18.96450171,0.28,4.599567276,0.037636723
84,50,40,17.0671477,1.160169343,15.90697835,0.28,3.858008938,0.046488645
85,50,50,14.3287149,1.170886216,13.15782869,0.28,3.191242204,0.056740734
86,50,60,11.94767908,1.167374137,10.78030494,0.28,2.614607996,0.071250371
87,50,70,10.09587477,1.169457077,8.926417691,0.28,2.164974294,0.084500531
88,50,80,8.591413897,1.178478455,7.412935441,0.28,1.797900931,0.102594359
89,50,90,7.244696023,1.169513085,6.075182939,0.28,1.473448291,0.12027807
90,60,10,17.98928953,1.166629583,16.82265994,0.23,4.496044989,0.04082081
91,60,20,20.85196343,1.165478413,19.68648502,0.23,5.261434436,0.033613935
92,60,30,18.26569897,1.188722118,17.07697685,0.23,4.56401404,0.040004262
93,60,40,15.2767922,1.186896925,14.08989527,0.23,3.765682909,0.05009515
94,60,50,13.02698763,1.201342952,11.82564468,0.23,3.160536482,0.061316958
95,60,60,11.00963975,1.182237033,9.827402718,0.23,2.626483855,0.074227647
96,60,70,9.255858302,1.177781437,8.078076865,0.23,2.158956855,0.092553874
97,60,80,7.870032339,1.169061027,6.700971312,0.23,1.790909915,0.109000065
98,60,90,6.72622145,1.164365435,5.561856015,0.23,1.486468546,0.129857727
