flip_angle,1,5,9,11,15,20,25,30,40,50,60
10,0.694886271,1.524096943,2.050483858,2.21182646,2.570989956,2.88910741,3.15646681,3.44355076,3.82212473,4.16846228,4.496044989
20,1.152592819,2.435089253,3.119624212,3.334703049,3.745458049,4.10205941,4.35974157,4.56250654,4.8838813,5.076341814,5.261434436
30,1.368978463,2.821656705,3.468540726,3.510492057,3.958913641,4.15312726,4.26064689,4.37306776,4.47713077,4.599567276,4.56401404
40,1.471184132,2.922585584,3.35884509,3.141160385,3.677497275,3.74104229,3.72744791,3.79061511,3.75838017,3.858008938,3.765682909
50,1.520344815,2.892055979,2.964159101,2.661210687,3.231772264,3.20105701,3.14593463,3.14842528,3.08451093,3.191242204,3.160536482
60,1.545782724,2.699644765,2.511639553,2.185848351,2.781305371,2.69470688,2.65326957,2.63317786,2.56680756,2.614607996,2.626483855
70,1.563924709,2.428636729,2.114139557,1.757415629,2.362194746,2.24664453,2.23324518,2.20021788,2.13071516,2.164974294,2.158956855
80,1.577171963,2.107621756,1.78128475,1.405139729,1.978216708,1.8712115,1.83193542,1.83392777,1.76594511,1.797900931,1.790909915
90,1.575523294,1.75757618,1.518411976,1.099953313,1.660668152,1.56449115,1.54286347,1.50972098,1.47181528,1.473448291,1.486468546
