,n_readout,flip_angle,snr_myelin,snr_wm,cnr,TA (min),efficiency,asr
0,1,10,21.02224178702615,1.115088739633699,19.907153047392452,13.5,0.6994660595480224,0.000997374790685053
1,1,20,33.65165898999506,0.9685387340244718,32.683120255970586,13.5,1.148367789445027,-0.00504787049465869
2,1,30,39.79117436418565,0.8432809909944414,38.947893373191214,13.5,1.368489479162918,-0.00613191335763154
3,1,40,42.72533652107266,0.7445239476814076,41.98081257339126,13.5,1.4750553972950111,-0.007916635716896124
4,1,50,43.92025226836711,0.6805130593049246,43.23973920906218,13.5,1.5192895703591565,-0.00844722197523792
5,1,60,44.56980366627869,0.6395710891676357,43.93023257711105,13.5,1.5435510342733272,-0.009064486344099986
6,1,70,45.129042177498505,0.6182668550845174,44.51077532241399,13.5,1.563949227098264,-0.009144974465161876
7,1,80,45.31846342964881,0.6038995838257909,44.714563845823015,13.5,1.5711096259313202,-0.009570982103713016
8,1,90,45.41898706058477,0.6014117264240255,44.81757533416074,13.5,1.5747290806903322,-0.009580037799420179
9,5,10,20.595373027762452,1.1112787767698171,19.484094250992634,2.7,1.5308150189060796,0.00021517017426375424
10,5,20,32.30104678680941,1.0044442689059336,31.296602517903477,2.7,2.458893318723281,-0.00437086380146956
11,5,30,36.82156365054084,0.9186048363131731,35.90295881422767,2.7,2.8208028491335235,-0.005296738049494107
12,5,40,38.166744922402884,0.9074850475104791,37.25925987489241,2.7,2.9273639243920284,-0.006344907449971382
13,5,50,37.604584576206086,0.9522691488260606,36.65231542738003,2.7,2.879677864987637,-0.006578588734707381
14,5,60,35.57485227415325,1.0247043727889442,34.55014790136431,2.7,2.714515985783652,-0.006840559080319046
15,5,70,32.14499816931044,1.101669920694517,31.043328248615925,2.7,2.438994212799581,-0.007498537134535546
16,5,80,28.015580827321788,1.1701304007380633,26.84545042658372,2.7,2.1091777822938496,-0.00913996561845323
17,5,90,23.483820956854814,1.197066635265994,22.28675432158882,2.7,1.7510127901593386,-0.010671281495134266
18,9,10,20.199983831794146,1.1204234068311374,19.07956042496301,1.5,2.0111622565897744,0.0006734047169012812
19,9,20,30.592807971464644,1.0373144163573929,29.55549355510725,1.5,3.1154225668188724,-0.002775687812315138
20,9,30,33.56590025150591,1.0092934327051746,32.55660681880074,1.5,3.4317676811326367,-0.002902191537402928
21,9,40,32.86625077121425,1.0627343769380924,31.803516394276155,1.5,3.35238498028061,0.0010901250745864394
22,9,50,29.349330495212584,1.112267225079816,28.23706327013277,1.5,2.9764478122633977,0.005178659987531886
23,9,60,25.07477120982144,1.1461915809648158,23.928579628856625,1.5,2.5222937599964492,0.010063867197262464
24,9,70,21.208605958501227,1.1529446010293136,20.055661357471912,1.5,2.1140523290211886,0.01598620678987321
25,9,80,17.963513726745422,1.1349053775707831,16.82860834917464,1.5,1.7738910744772678,0.019830679100114407
26,9,90,15.688629914526219,1.1330629013537838,14.555567013172436,1.5,1.5342914798946325,0.023250802205984827
27,11,10,20.126161345971667,1.1193174033762243,19.00684394259544,1.23,2.2095007282989845,0.001560252590043908
28,11,20,29.963379398658166,1.05388170440286,28.909497694255307,1.23,3.3606608442270676,-0.0024485902286258505
29,11,30,31.130019233864537,1.0573820258243398,30.0726372080402,1.23,3.495873066234195,-0.002709394818313952
30,11,40,28.32486482663913,1.1769067267684983,27.14795809987063,1.23,3.1558860258261032,-0.0035236770135588327
31,11,50,24.02683096003737,1.3061541360500155,22.72067682398735,1.23,2.641225031449949,-0.006018461602527197
32,11,60,20.145601848406184,1.4249004093164381,18.720701439089748,1.23,2.1762373379222026,-0.007793720153744686
33,11,70,16.65172569738804,1.4983767762220148,15.153348921166028,1.23,1.761541031146752,-0.007380762915640313
34,11,80,13.50713078987787,1.5236682130232122,11.983462576854658,1.23,1.393049228534278,-0.0006669416111374219
35,11,90,11.077263462087558,1.5491754602172856,9.528088001870273,1.23,1.1076177319607343,0.007354670740383568
36,15,10,19.843521817088593,1.113598000819708,18.729923816268887,0.9,2.548819792836722,-0.000907720686899654
37,15,20,28.759529585121218,1.0574918857406312,27.70203769938059,0.9,3.7697698443792036,-0.0033375738806961544
38,15,30,30.14171142143398,1.0432708962489659,29.098440525185012,0.9,3.959796199857058,-0.003752432286074365
39,15,40,27.977873145880476,1.071325908402395,26.90654723747808,0.9,3.6615173039952005,-0.001023834147949899
40,15,50,24.79334288292062,1.1015167823421348,23.69182610057849,0.9,3.224049167842766,0.0009795845521826958
41,15,60,21.597024008707116,1.1354770318610965,20.46154697684602,0.9,2.784463857847804,0.0032287751371675505
42,15,70,18.159163582100756,1.138962128418157,17.0202014536826,0.9,2.3161560489388258,0.005268386169812232
43,15,80,15.74995241934356,1.1749303040589545,14.575022115284604,0.9,1.9834092873459785,0.005468031260226222
44,15,90,13.219360838475291,1.1687335257001314,12.05062731277516,0.9,1.639882666485865,0.006578664876648617
