,n_readout,flip_angle,snr_myelin,snr_wm,cnr,TA (min),efficiency,asr
0,40,10,20.347135535757303,2.741604744834968,17.605530790922337,0.52,3.1368506824728875,0.031624325031961435
1,40,20,22.599394238488205,3.063328801817006,19.536065436671198,0.52,3.480822073791422,0.02748916850279145
2,40,30,19.951634626452627,2.8275535638619997,17.12408106259063,0.52,3.051068780931333,0.03583492419524866
3,40,40,16.966040302682195,2.518563566600983,14.447476736081212,0.52,2.574167049990616,0.04750685202658759
4,40,50,13.98654820022853,2.175270411573127,11.811277788655403,0.52,2.1044645135791176,0.062326136730383196
5,40,60,11.762505682397245,1.9293657558548705,9.833139926542376,0.52,1.7520114591109073,0.0771925702498226
6,40,70,9.997435123908701,1.746974793269439,8.250460330639264,0.52,1.4700188495438942,0.09384009859629264
7,40,80,8.446383805628715,1.595048992863763,6.851334812764951,0.52,1.220730833878259,0.1106479740185448
8,40,90,7.30626949344631,1.5105881188266195,5.79568137461969,0.52,1.0326406679397102,0.1281167418760749
